Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Uniform,0,0,0.572905838,0.8572
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Uniform,1,0.1,0.699909627,0.8322
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Uniform,2,0.2,1.163523674,0.7497
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Uniform,3,0.3,1.846644282,0.6235
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Uniform,4,0.4,2.772247553,0.4628
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Uniform,5,0.5,3.893352747,0.3105
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Uniform,6,0.6,5.047564507,0.2123
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Uniform,7,0.7,5.954478741,0.1646
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Uniform,8,0.8,6.727847099,0.1383
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Uniform,9,0.9,7.201133728,0.1251
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Uniform,10,1,7.615722656,0.1183
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,0,0,0.572905838,0.8572
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,1,0.1,2.143662214,0.5766
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,2,0.2,3.939605474,0.3127
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,3,0.3,5.375720024,0.186
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,4,0.4,6.460512161,0.1435
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,5,0.5,7.143662453,0.1218
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,6,0.6,7.787778854,0.1095
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,7,0.7,8.252449036,0.1083
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,8,0.8,9.204953194,0.1011
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,9,0.9,10.08532619,0.0976
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,10,1,12.24120617,0.1014
Baseline,Gabor,VGG16,None,1,42,CIFAR10,High Pass,0,100,0.592717707,0.8533
Baseline,Gabor,VGG16,None,1,42,CIFAR10,High Pass,1,63.09573445,0.595256388,0.8519
Baseline,Gabor,VGG16,None,1,42,CIFAR10,High Pass,2,39.81071706,0.603287041,0.8486
Baseline,Gabor,VGG16,None,1,42,CIFAR10,High Pass,3,25.11886432,0.621341705,0.8383
Baseline,Gabor,VGG16,None,1,42,CIFAR10,High Pass,4,15.84893192,0.675291002,0.8195
Baseline,Gabor,VGG16,None,1,42,CIFAR10,High Pass,5,10,0.811114907,0.773
Baseline,Gabor,VGG16,None,1,42,CIFAR10,High Pass,6,6.309573445,1.227661371,0.6392
Baseline,Gabor,VGG16,None,1,42,CIFAR10,High Pass,7,3.981071706,2.171696424,0.3745
Baseline,Gabor,VGG16,None,1,42,CIFAR10,High Pass,8,2.511886432,2.963730574,0.226
Baseline,Gabor,VGG16,None,1,42,CIFAR10,High Pass,9,1.584893192,3.001780033,0.1899
Baseline,Gabor,VGG16,None,1,42,CIFAR10,High Pass,10,1,3.194501638,0.1285
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Low Pass,0,1,1.263723373,0.8563
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Low Pass,1,1.584893192,1.453179598,0.8521
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Low Pass,2,2.511886432,0.592861414,0.8357
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Low Pass,3,3.981071706,0.936111152,0.7312
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Low Pass,4,6.309573445,2.678933859,0.3608
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Low Pass,5,10,3.673186779,0.1678
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Low Pass,6,15.84893192,4.005242348,0.1153
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Low Pass,7,25.11886432,4.479138851,0.1015
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Low Pass,8,39.81071706,5.665475368,0.1003
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Low Pass,9,63.09573445,12.00900745,0.1007
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Low Pass,10,100,25.87809181,0.1
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Contrast,0,1,0.572905838,0.8572
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Contrast,1,0.630957344,0.544949055,0.8407
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Contrast,2,0.398107171,0.71316582,0.7747
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Contrast,3,0.251188643,1.166699767,0.6101
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Contrast,4,0.158489319,1.893850565,0.3831
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Contrast,5,0.1,2.755816698,0.2118
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Contrast,6,0.063095734,3.693019867,0.1396
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Contrast,7,0.039810717,4.636081696,0.1162
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Contrast,8,0.025118864,5.344007492,0.1066
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Contrast,9,0.015848932,5.534317017,0.102
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Contrast,10,0.01,5.265463352,0.0999
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,0,0,0.572906733,0.8572
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,1,18,0.833325267,0.8439
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,2,36,0.693112612,0.8088
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,3,54,0.929291785,0.7413
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,4,72,1.363715172,0.6207
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,5,90,2.010415316,0.4773
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,6,108,2.811630964,0.3423
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,7,126,3.428591728,0.2566
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,8,144,3.874440193,0.214
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,9,162,4.016420841,0.1972
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,10,180,4.147899151,0.1939
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Darken,0,0,0.572948456,0.857
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Darken,1,-0.1,0.600120842,0.8511
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Darken,2,-0.2,0.673738897,0.8317
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Darken,3,-0.3,0.813166142,0.7848
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Darken,4,-0.4,1.145132303,0.6838
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Darken,5,-0.5,1.835204244,0.5216
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Darken,6,-0.6,2.932484865,0.3464
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Darken,7,-0.7,4.008738518,0.2084
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Darken,8,-0.8,5.112147808,0.1325
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Darken,9,-0.9,5.857703686,0.1083
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Darken,10,-1,6.704532146,0.1
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Brighten,0,0,0.572948456,0.857
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Brighten,1,0.1,0.56985867,0.8506
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Brighten,2,0.2,0.601060569,0.8417
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Brighten,3,0.3,0.88544637,0.8133
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Brighten,4,0.4,0.86114651,0.7602
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Brighten,5,0.5,1.223561764,0.6594
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Brighten,6,0.6,1.901410341,0.4958
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Brighten,7,0.7,2.810028076,0.309
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Brighten,8,0.8,3.564112186,0.1702
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Brighten,9,0.9,3.925251961,0.1154
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Brighten,10,1,4.15655899,0.1
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Rotation,0,0,0.572948456,0.857
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Rotation,1,90,3.695111036,0.28
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Rotation,2,180,3.307806969,0.3325
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Rotation,3,270,3.537388563,0.2829
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Invert,0,0,0.572948456,0.857
Baseline,Gabor,VGG16,None,1,42,CIFAR10,Invert,1,1,1.536018848,0.6275
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Uniform,0,0,0.512684047,0.8677
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Uniform,1,0.1,0.973876774,0.7799
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Uniform,2,0.2,2.83786726,0.4985
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Uniform,3,0.3,6.040230274,0.2511
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Uniform,4,0.4,9.962851524,0.1439
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Uniform,5,0.5,15.01814175,0.1154
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Uniform,6,0.6,20.9008522,0.1063
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Uniform,7,0.7,27.47497177,0.1033
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Uniform,8,0.8,33.95726395,0.1016
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Uniform,9,0.9,40.57518387,0.1012
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Uniform,10,1,46.39718246,0.1001
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,0,0,0.512684047,0.8677
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,1,0.1,11.61419964,0.1299
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,2,0.2,15.79380322,0.1155
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,3,0.3,22.00117683,0.1074
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,4,0.4,29.73652458,0.1017
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,5,0.5,39.68613052,0.1009
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,6,0.6,50.91232681,0.1004
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,7,0.7,64.22821045,0.1
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,8,0.8,76.70075226,0.0999
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,9,0.9,89.59417725,0.1002
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,10,1,100.4599533,0.0999
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,High Pass,0,100,0.53986609,0.864
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,High Pass,1,63.09573445,0.544994593,0.8629
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,High Pass,2,39.81071706,0.562813163,0.8597
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,High Pass,3,25.11886432,0.59578383,0.8521
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,High Pass,4,15.84893192,0.637650549,0.8334
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,High Pass,5,10,0.771355987,0.7945
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,High Pass,6,6.309573445,1.095004082,0.6969
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,High Pass,7,3.981071706,1.647154689,0.5212
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,High Pass,8,2.511886432,2.007866383,0.3837
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,High Pass,9,1.584893192,2.506758451,0.236
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,High Pass,10,1,2.94814086,0.1699
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,0,1,0.537006199,0.8685
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,1,1.584893192,0.53947717,0.8639
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,2,2.511886432,0.535122514,0.8549
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,3,3.981071706,0.753656566,0.7847
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,4,6.309573445,2.438129187,0.4036
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,5,10,4.367443562,0.1556
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,6,15.84893192,5.558875084,0.112
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,7,25.11886432,5.777120113,0.1017
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,8,39.81071706,5.544938564,0.0997
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,9,63.09573445,5.516508579,0.1
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,10,100,5.648682594,0.0964
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Contrast,0,1,0.512684047,0.8677
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Contrast,1,0.630957344,0.490329921,0.848
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Contrast,2,0.398107171,0.706973076,0.7576
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Contrast,3,0.251188643,1.269541979,0.5686
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Contrast,4,0.158489319,2.129530668,0.3201
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Contrast,5,0.1,3.007159233,0.1564
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Contrast,6,0.063095734,3.818548918,0.0917
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Contrast,7,0.039810717,4.513210773,0.0773
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Contrast,8,0.025118864,5.119815826,0.0815
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Contrast,9,0.015848932,5.532325268,0.0968
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Contrast,10,0.01,5.760286331,0.1
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,0,0,0.512683809,0.8678
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,1,18,0.541996896,0.8564
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,2,36,0.694204569,0.8096
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,3,54,0.990654469,0.7286
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,4,72,1.438769937,0.6035
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,5,90,2.142947197,0.45
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,6,108,2.902238369,0.318
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,7,126,3.5453372,0.2402
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,8,144,3.948739052,0.1968
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,9,162,4.089256763,0.185
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,10,180,4.213839531,0.1778
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Darken,0,0,0.512536287,0.8675
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Darken,1,-0.1,0.553277671,0.864
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Darken,2,-0.2,0.618395448,0.841
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Darken,3,-0.3,0.746659935,0.7935
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Darken,4,-0.4,1.015726328,0.7016
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Darken,5,-0.5,1.449959517,0.5562
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Darken,6,-0.6,1.931000233,0.3957
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Darken,7,-0.7,2.309657812,0.2603
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Darken,8,-0.8,2.56750226,0.1655
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Darken,9,-0.9,2.683019638,0.1078
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Darken,10,-1,2.739136457,0.1
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Brighten,0,0,0.512536287,0.8675
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Brighten,1,0.1,0.501818478,0.8639
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Brighten,2,0.2,0.527401924,0.8497
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Brighten,3,0.3,0.595248222,0.8223
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Brighten,4,0.4,0.747571826,0.7674
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Brighten,5,0.5,1.07498765,0.6618
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Brighten,6,0.6,1.675222635,0.4751
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Brighten,7,0.7,2.509481668,0.2712
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Brighten,8,0.8,3.34473896,0.1314
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Brighten,9,0.9,3.922529697,0.1015
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Brighten,10,1,4.186214924,0.1
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Rotation,0,0,0.512536287,0.8675
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Rotation,1,90,3.593607903,0.2905
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Rotation,2,180,3.289668798,0.3408
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Rotation,3,270,3.580253839,0.29
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Invert,0,0,0.512536287,0.8675
RIB (N=2),Gabor,VGG16,None,1,42,CIFAR10,Invert,1,1,1.410993814,0.6533
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Uniform,0,0,0.514796674,0.8682
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Uniform,1,0.1,29.76683998,0.5014
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Uniform,2,0.2,973.4846191,0.2391
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Uniform,3,0.3,12455.00195,0.1706
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Uniform,4,0.4,82969.52344,0.1432
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Uniform,5,0.5,309773.6875,0.1151
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Uniform,6,0.6,682537.1875,0.1024
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Uniform,7,0.7,1228567.125,0.0896
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Uniform,8,0.8,1785113,0.0943
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Uniform,9,0.9,2376681.5,0.0952
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Uniform,10,1,2825746.75,0.0936
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,0,0,0.514796674,0.8682
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,1,0.1,626535.5,0.1142
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,2,0.2,1072596.125,0.0954
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,3,0.3,1670473.75,0.09
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,4,0.4,2386199,0.0909
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,5,0.5,2951091.5,0.0992
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,6,0.6,3564932.25,0.0971
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,7,0.7,3919513.25,0.0961
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,8,0.8,4301020,0.1007
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,9,0.9,4770122.5,0.1042
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,10,1,5456105,0.0991
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,0,100,0.530564547,0.8637
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,1,63.09573445,0.535741806,0.8597
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,2,39.81071706,0.552139521,0.8564
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,3,25.11886432,0.592531443,0.844
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,4,15.84893192,0.641846836,0.8245
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,5,10,0.76169163,0.7826
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,6,6.309573445,1.117522359,0.6739
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,7,3.981071706,1.8027457,0.4599
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,8,2.511886432,2.306627512,0.3056
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,9,1.584893192,2.544737339,0.2355
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,10,1,2.492563248,0.2447
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,0,1,0.548385143,0.8654
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,1,1.584893192,0.56062454,0.8631
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,2,2.511886432,0.575838923,0.8505
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,3,3.981071706,0.769192338,0.769
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,4,6.309573445,2.324155569,0.4182
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,5,10,4.689840794,0.1494
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,6,15.84893192,7.221635818,0.1016
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,7,25.11886432,7.714049816,0.1
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,8,39.81071706,5.92411232,0.1
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,9,63.09573445,4.920780659,0.1
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,10,100,4.723538876,0.1
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,0,1,0.514796674,0.8682
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,1,0.630957344,0.507020116,0.8429
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,2,0.398107171,0.754236996,0.7493
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,3,0.251188643,1.336479545,0.5431
